Actual,Predicted
26000000.0,19354813.98784541
12000000.0,19354813.98784541
25000000.0,19354813.98784541
14000000.0,19354813.98784541
350000000.0,147440364.15769735
120000000.0,97513910.73589286
22000000.0,19354813.98784541
35000000.0,57986629.128640555
2500000.0,19354813.98784541
22000000.0,19354813.98784541
120000000.0,85874149.56321406
11000000.0,19354813.98784541
